Joe Auer
Mel Branch
Bob Bruggers
Whit Canale
Rick Casares
George Chesser
Ed Cooke
Bill Cronin
Al Dotson
Frank Emanuel
Tom Erlandson
Norm Evans
Earl Faison
Cookie Gilchrist
Tom Goode
Jim Higgins
Johnny Holmes
Mike Hudock
Billy Hunter
Frank Jackson
Pete Jaquess
Billy Joe
Dave Kocourek
Wes Matthews
Wahoo McDaniel
John McGeever
Gene Mingo
Stan Mitchell
Doug Moreau
Bob Neff
Billy Neighbors
Tom Nomina
Karl Noonan
Rick Norton
Ernie Park
Bob Petrella
Sammy Price
Ken Rice
Bo Roberson
John Roderick
Jack Rudolph
John Stofa
Jack Thornton
LaVerne Torczon
Howard Twilley
Hal Wantland
Jimmy Warren
Willie West
Dick Westmoreland
Maxie Williams
George Wilson
Dick Wood
Rich Zecher
